Title,SMILES,Category,Actividad
CN-15,C[C@H](N)[C@H](O)c1cccc(O)c1,CN,0
CN-16,CC(C)NCC(O)c1ccc(O)c(O)c1,CN,0
CN-17,N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,CN,0
CP-13,COCCc1ccc(OCC(O)CNC(C)C)cc1,CP,1
CN-18,NC(Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O,CN,0
CN-19,C[C@](N)(Cc1ccc(O)c(O)c1)C(O)=O,CN,0
CN-20,[Na+].CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C([O-])=O)c1I,CN,0
CP-14,CC(C)NCC(O)c1ccc(N[S](C)(=O)=O)cc1,CP,1
CN-21,NCC(O)c1cccc(O)c1,CN,0
CN-22,CCOc1ccc(NC(C)=O)cc1,CN,0
CN-23,CCCN(CCC)[S](=O)(=O)c1ccc(cc1)C(O)=O,CN,0
CN-24,OC(=O)c1ccccc1O,CN,0
CN-25,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,CN,0
CP-15,c1ccccc1,CP,1
CN-26,CCCCNC(=O)N[S](=O)(=O)c1ccc(C)cc1,CN,0
CP-16,CC(N)Cc1ccccc1,CP,1
CP-17,CCc1ccccc1,CP,1
CP-18,CCOC(=O)c1ccc(N)cc1,CP,1
CP-19,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,CP,1
CP-20,OCCOC(=O)NCc1ccccc1,CP,1
CP-21,OC(=O)CNC(=O)c1ccccc1O,CP,1
CP-22,Cc1ccccc1,CP,1
CP-23,Cc1cccc(C)c1,CP,1
CP-24,COC(=O)c1ccc(cc1)C(=O)OC,CP,1
CP-25,Cc1ccccc1C,CP,1
CP-26,Cc1ccc(C)cc1,CP,1
CP-27,c1cc(ccc1CCCC(OC(C)(C)C)=O)N(CCCl)CCCl,CP,1
CN-27,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,CN,0
CP-28,CCC(O)(COC(N)=O)c1ccccc1,CP,1
CP-29,CCN(CC)CC(=O)Nc1c(C)cccc1C,CP,1
CP-30,CN(C)CCOC(=O)COc1ccc(Cl)cc1,CP,1
CP-31,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,CP,1
CP-32,COc1cc(CCN)cc(OC)c1OC,CP,1
CP-33,CN[C@@H](C)Cc1ccccc1,CP,1
CP-34,COc1ccccc1OCC(O)COC(N)=O,CP,1
CN-28,Nc1ccc(C(O)=O)c(O)c1,CN,0
CN-29,CNCC(O)c1ccc(O)c(O)c1,CN,0
CN-30,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,CN,0
CN-31,CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1,CN,0
CN-32,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,CN,0
CN-33,CCNCC(O)c1cccc(O)c1,CN,0
CN-34,CC(Cc1ccccc1)NO,CN,0
CN-35,CNC(C)C(O)c1ccc(O)cc1,CN,0
CN-36,CNC(C)C(=O)c1ccc(OC)cc1,CN,0
CN-37,CNCC(O)c1cccc(OC(=O)C(C)(C)C)c1,CN,0
CP-35,C1=CC(=CC=C1CC(OC(C(C)N)=O)(C)C)Cl,CP,1
CP-36,C1=CC=CC(=C1C(O)=O)OC(C)=O,CP,1
CP-37,C1=CC=CC=C1CNC(CCCl)=O,CP,1
CP-38,C(C1=CC=CC=C1)O,CP,1
CP-39,C1=C(C(=C(C=C1Br)C)O)C(N)=O,CP,1
CP-40,C1=C(C=CC(=C1)NC(C)=O)OC(C)(C)C,CP,1
CP-41,C1=C(C(=CC=C1C(/CCCCC)=N\OCCN)C)N,CP,1
CP-42,C1=C(C(OC(N)=O)C#C)C=CC=C1,CP,1
CP-43,C1=C(C=CC(=C1)[S](N)(=O)=O)C(O)=O,CP,1
CP-44,[C@@H](C(C1=CC=CC=C1)=O)(C)N,CP,1
CP-45,C1=C(C(O)C(CO)NC(C(Cl)Cl)=O)C=CC(=C1)C(=O)C,CP,1
CP-46,C1=C(C(=CC(=C1)Cl)Cl)OCCCN(CC#C)C,CP,1
CP-47,C1=C(C(N)=O)C=C(C(=C1OC)OCCCCCCCCCC)OC,CP,1
CP-48,C1=C(Cl)C=C(C(=C1C(NCCN(CC)CC)=O)OC)Cl,CP,1
CP-49,CN(C(C)CC1=CC=CC=C1)C,CP,1
CP-50,C1=C(C=CC=C1C(CNC(CCCO)=O)(CC)CC)OC,CP,1
CP-51,C1=C(C(COC(N)=O)COC(N)=O)C=CC=C1,CP,1
CP-52,C1=CC(=CC=C1C(CC(C)(C)O)(C)O)Cl,CP,1
CP-53,C1=C(C(CNC(C)(C)C)O)C(=CC=C1)F,CP,1
CP-54,[C@@H](C1=CC=C(C=C1)[S](C)(=O)=O)([C@H](NC(C(Cl)Cl)=O)CF)O,CP,1
CP-55,CCOC(=O)N(CCN(C)C)c1cccc(c1)C(F)(F)F,CP,1
CP-56,C1=CC(=CC=C1[S](CC)(=O)=O)F,CP,1
CP-57,C1=C(C(F)(F)F)C=CC(=C1)C(=N/OCCN)/CCCCOC.O=C(O)\C=C/C(=O)O,CP,1
CP-58,C1=CC(=CC=C1OCC(NNC(C)C)=O)Cl,CP,1
CP-59,C1=CC=CC=C1C(NN)C,CP,1
CP-60,C1=C(OCC(=O)NCCN(CC)CC)C=CC(=C1)OC,CP,1
CP-61,C1=C(C=CC=C1O)NC(C)=O,CP,1
CP-62,C1=C(C(C(C)(C)O)(C)O)C=CC=C1Cl,CP,1
CP-63,C1=CC=CC=C1CN(CC#C)C,CP,1
CP-64,C1=CC=CC=C1CC(NC(N)=O)=O,CP,1
CP-65,C1=CC=CC=C1C(C(NC(N)=O)=O)CC,CP,1
CP-66,C1=C(OCC(NN)C)C=CC=C1,CP,1
CP-67,C1=CC(=CC=C1C(NC(C)C)=O)CNNC,CP,1
CP-68,C1=CC(=CC=C1OC(CN(CC)CC)=O)NC(C)=O,CP,1
CP-69,C1=CC=C(C(=C1C(C)C)O)C(C)C,CP,1
CP-70,[C@H](C1=CC(=CC=C1)OC(N(CC)C)=O)(N(C)C)C,CP,1
CP-71,C(C1=CC=CC=C1O)(=O)N,CP,1
CP-72,[C@@H](CC1=CC=CC=C1)(N(CC#C)C)C,CP,1
CP-73,[C@H](C(=O)OC1=CC=C(C=C1)NC(=O)C)(NC(=O)C)CCSC,CP,1
CP-74,C1=CC=CC(=C1OCC(COC(C(Cl)(Cl)Cl)O)OC(C(Cl)(Cl)Cl)O)C,CP,1
CP-75,C1=C(C(=C(C=C1C(NCC(N(CC)CC)=O)=O)OC)OC)OC,CP,1
CP-76,C1=CC(=CC=C1CNC(C(C)C)CCCCCC(O)=O)F,CP,1
CP-77,C1=C(CC(CC=C)N)C=CC=C1,CP,1
CP-78,[C@@H](O)([C@@H](O)C(=O)O)C(=O)O.[C@@H](N)(CC1=CC=C(N(C)C)C=C1C)C,CP,1
CP-79,C1=CC(=CC=C1NCCC(N(C)C)=O)Br,CP,1
CP-80,C1=C(Br)C(=CC(=C1C(NCCN(CC)CC)=O)OC)N,CP,1
CP-81,C1=CC=CC=C1C(NNC(OCC)=O)C,CP,1
CP-82,C1=C(CC(N(C)C)(CO)C)C=CC(=C1Cl)Cl,CP,1
CP-83,C1=CC(=CC=C1OCC(COC(N)=O)O)Cl,CP,1
CP-84,C1=C(C=CC=C1Br)\C=C\C(NCC)=O,CP,1
CP-85,C1=C(C(=C(C=C1\C=C\C(N)=O)OC)OC)OC,CP,1
CP-86,C1=CC(=CC=C1OCC(NCCN(CC)CC)=O)Cl,CP,1
CP-87,C1=C(C(=N/OCCN)/CCCCOC)C=CC(=C1)Cl,CP,1
CP-88,C1=CC=CC=C1CCNC(CCCl)=O,CP,1
CP-89,NC(=N)NCCCOc1ccccc1,CP,1
CP-90,[C@H](CC1=CC(=C(C=C1)O)O)(C(O)=O)N,CP,1
CP-91,C1=CC=CC(=C1)C(=O)C(C)N(C)C,CP,1
CP-92,C1=C(CC\C(CN)=C/F)C=CC(=C1)F,CP,1
CP-93,N(C(=O)C)C1=CC=C(O)C=C1,CP,1
CP-94,C1=C(NC(CC)=O)C=CC(=C1)O,CP,1
CP-95,C1=C(C(C(C)(C)O)(C)O)C=CC(=C1)Cl,CP,1
CP-96,[Cl].C1=CC=CC=C1CCNN,CP,1
CP-97,C1=CC=CC=C1CC(NN)C,CP,1
CP-98,C1=C([S](C)(=O)=O)C=CC(=C1C(NCCN(CC)CC)=O)OC,CP,1
CP-99,C1=C(NC(C(Cl)(Cl)Cl)=O)C=CC(=C1)O,CP,1
CP-100,[N+](=NCC(=O)N[C@@H]([C@H](O)C1=CC=C([N+]([O-])=O)C=C1)CO)=[N-],CP,1
CP-101,C(Cl)Cl,CP,1
CP-102,CCCC(C)C,CP,1
CP-103,ClCC(F)(F)F,CP,1
CP-104,[Na+].[Na+].[Na+].[O-]C(=O)[P]([O-])([O-])=O,CP,1
CN-38,NC(CO)(CO)CO,CN,0
CP-105,NC(N)=O,CP,1
CN-39,OC(=O)CCCCCCCC(O)=O,CN,0
CN-40,[Cl-].CC(C[N+](C)(C)C)OC(N)=O,CN,0
CP-106,C[S](=O)(=O)OCCCCO[S](C)(=O)=O,CP,1
CP-107,CCCCNC(=O)OCC(C)(CCC)COC(N)=O,CP,1
CP-108,CCCC(CCC)C(O)=O,CP,1
CP-109,NC(=O)NO,CP,1
CP-110,ClCCNC(=O)N(CCCl)N=O,CP,1
CN-41,OCC(O)C(O)C(O)C(O)CO,CN,0
CP-111,FCOC(C(F)(F)F)C(F)(F)F,CP,1
CN-42,[Na+].[O-][S](=O)(=O)CCS,CN,0
CP-112,CC(Cl)(Cl)Cl,CP,1
CP-113,C(CCl)(F)(F)F,CP,1
CP-114,CC(C)CO,CP,1
CP-115,CCC(C)(C)C,CP,1
CP-116,CCCC(C)CC,CP,1
CP-117,CCC(C)CC,CP,1
CP-118,CCC(C)=O,CP,1
CP-119,ClCCl,CP,1
CP-120,CCOCC,CP,1
CP-121,C=COC=C,CP,1
CP-122,FC(F)OC(F)(F)C(F)Cl,CP,1
CP-123,CCO,CP,1
CP-124,FC(F)(F)COC=C,CP,1
CP-125,FC(F)(F)C(Cl)Br,CP,1
CP-126,CCCCCCC,CP,1
CP-127,CCCCCC,CP,1
CP-128,FC(F)OC(Cl)C(F)(F)F,CP,1
CP-129,COC(F)(F)C(Cl)Cl,CP,1
CP-130,CCC(C)C(CC)C(=O)NC(N)=O,CP,1
CP-131,CCCCC,CP,1
CP-132,CCCO,CP,1
CP-133,CC(C)=O,CP,1
CP-134,OC(O)C(Cl)(Cl)Cl,CP,1
CP-135,C[N+](C)(C)CCO,CP,1
CP-136,FC(Br)C(F)(F)F,CP,1
CP-137,CN(C)CCO,CP,1
CP-138,ClC=C(Cl)Cl,CP,1
CP-139,ClC(Cl)Cl,CP,1
CP-140,CC(C)O,CP,1
CP-141,CC\C(=C/C)C(=O)NC(N)=O,CP,1
CP-142,CCC(C)(CC)OC(N)=O,CP,1
CP-143,CCC(O)(\C=C\Cl)C#C,CP,1
CP-144,CCCC(C)(COC(N)=O)COC(N)=O,CP,1
CN-43,NCCCNCCS[P](O)(O)=O,CN,0
CP-145,CCC(C)(O)C#C,CP,1
CP-146,CCN(CC)C(=S)SSC(=S)N(CC)CC,CP,1
CN-44,CC[C@@H](CO)NCCN[C@@H](CC)CO,CN,0
CP-147,ClC(C(F)(F)Cl)(F)F,CP,1
CP-148,C(C(C(NC(NC(C)=O)=O)=O)(CC)Br)C,CP,1
CP-149,C(C(NC(C)=O)C(O)=O)CC(N)=O,CP,1
CP-150,C(C(C)(C)O)C,CP,1
CP-151,[C@H](CCCNC(C)=O)(C(O)=O)NC(C)=O,CP,1
CP-152,CC(C(C(NC(N)=O)=O)Br)C,CP,1
CP-153,C(Br)(Br)Br,CP,1
CP-154,C(C(CCCC)CC)NC(CC(C)O)=O,CP,1
CP-155,C(C(OC(C(Cl)(Cl)Cl)O)C)C(C)(C)O,CP,1
CP-156,C(Cl)(Cl)Cl,CP,1
CP-157,C(C(Cl)(Cl)Cl)OC(OCC(Cl)(Cl)Cl)=O,CP,1
CP-158,C(C(N(C(\C=C\C)=O)CC)C(N(C)C)=O)C,CP,1
CP-159,C(C)Cl,CP,1
CP-160,C=C,CP,1
CP-161,[C@H](C(NCCCC(O)=O)=O)(C(CO)(C)C)O,CP,1
CP-162,C(C(C(C)C)(C(N)=O)Br)C,CP,1
CP-163,C(C(C(CC)C)(COC(N)=O)C)OC(N)=O,CP,1
CP-164,CNC(NC(C(Cl)(Cl)Cl)O)=O,CP,1
CP-165,C(NCC(N)=O)CCCC,CP,1
CP-166,C(C(COC(N)=O)(C(CC)C)C)OC(NC(C)C)=O,CP,1
CP-167,C(C(F)(F)F)F,CP,1
CP-168,C(C(NN)C)CCCCC,CP,1
CP-169,CC(C(C(OC(N)=O)C)C)OC(N)=O,CP,1
CP-170,C(C(COC(C(Cl)(Cl)Cl)O)(COC(C(Cl)(Cl)Cl)O)COC(C(Cl)(Cl)Cl)O)OC(C(Cl)(Cl)Cl)O,CP,1
CP-171,C(NC(C(C)(C)C)=O)CCC(O)=O,CP,1
CP-172,[C@@H](CC(=O)O)(CC(C)C)CN,CP,1
CP-173,[CH2-][CH-]C,CP,1
CP-174,C([S](C(C)(C)[S](=O)(=O)CC)(=O)=O)C,CP,1
CP-175,BrCC(O)(Br)Br,CP,1
CP-176,O=[P](O)(OCC(Cl)(Cl)Cl)O,CP,1
CP-177,NC(=O)OCC,CP,1
CP-178,C(C(C(N)=O)(CCC)CCC)CC,CP,1
CP-179,C(C(C(OCOC(C(C)(C)C)=O)=O)CCC)CC,CP,1
CP-180,C(C(C=C)N)CC(O)=O,CP,1
CP-181,C(=C)OC=C,CP,1
CP-182,C(OC(NC(C(Cl)(Cl)Cl)O)=O)C,CP,1
CP-183,C(C(C(NC(N)=O)=O)(CC)Br)C,CP,1
CP-184,ClC(CCC)O,CP,1
CP-185,C(C(N(C(\C=C\C)=O)CCC)C(N(C)C)=O)C,CP,1
CP-186,O(C(C(F)(F)F)F)C(F)F,CP,1
CP-187,COC(C(F)Br)(F)F,CP,1
CP-188,C(C([S](CC)(=O)=O)([S](CC)(=O)=O)C)C,CP,1
CP-189,C(C(C(N)=O)(CC)CC)C=C,CP,1
CP-190,C(C(C(CC)C)C(N)=O)C,CP,1
CP-191,C(C(CCC)C(N)=O)CC,CP,1
CP-192,[N+](=[N-])=O,CP,1
CN-45,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,CN,0
CN-46,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14,CN,0
CN-47,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,CN,0
CN-48,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,CN,0
CP-193,[C@@]4([C@@]3([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)C=C1)C[C@H]2Cl)C)[C@H](C3)O)C[C@H]4C)C)(C(COC(CC)=O)=O)OC(CC)=O,CP,1
CP-194,[C@H]12[C@@]([C@](OC(=O)CC)([C@H](C1)C)C(=O)COC)(C[C@H](O)[C@@]3(F)[C@H]2CCC4=CC(=O)C=C[C@]34C)C,CP,1
CP-195,[C@]23([C@H]([C@H]1[C@]([C@](C(CO)=O)(O)[C@H](C1)C)(C)C[C@@H]2O)CCC4=CC(=O)C=C[C@]34C)Cl,CP,1
CP-196,[C@]14([C@@]([C@@H](C)C[C@H]1[C@H]3[C@]([C@@]2(C(=CC(=O)C=C2)CC3)C)(F)[C@H](C4)O)(OC(CCCC)=O)C(CO)=O)C,CP,1
CP-197,[C@@]24(Cl)C1(C(=CC(=O)C=C1)[C@@H](F)CC2C3C(C([C@@H](C3)C)C(=O)CO)(CC4O)C)C,CP,1
CP-198,[C@H]2(C1=CC(C=C[C@@]1(C4([C@@H](C2)[C@@H]3C[C@H]([C@H](C(COC(=O)C)=O)[C@@]3(C)C[C@@H]4O)C)Cl)C)=O)F,CP,1
CP-199,[C@@]24(Cl)C1(C(=CC(=O)C=C1)[C@@H](F)CC2C3C(C([C@@H](C3)C)C(=O)COC(=O)C(C)(C)C)(CC4O)C)C,CP,1
CP-200,[C@]34([C@H](C2[C@@](F)([C@@]1(C(=CC(=O)C=C1)[C@@H](F)C2)C)[C@@H](O)C3)C[C@H]([C@]4(OC(=O)CC)C(SCCl)=O)C)C,CP,1
CP-201,CC1CC2C3CC(F)(F)C4=CC(=O)C=C[C@]4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,CP,1
CP-202,CC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C,CP,1
CP-203,[C@H]34[C@H]2[C@@](F)([C@@]1(C(=CC(=O)C=C1)CC2)C)[C@@H](O)C[C@@]3([C@](O)([C@H](O)C4)C(=O)C)C,CP,1
CP-204,[C@H]23[C@@]([C@@]1(C(=CC(=O)C=C1)CC2)C)([C@H](C[C@]4([C@H]3C[C@@H](C)[C@@H]4C(CO)=O)C)O)F,CP,1
CP-205,[C@@]23(Cl)C(C1C([C@](O)(CC1)C(=O)CO)(CC2Cl)C)CCC4=CC(=O)C=CC34C,CP,1
CP-206,[C@@]23(Cl)C(C1C([C@](O)(CC1)C(=O)COC(=O)C)(CC2Cl)C)CCC4=CC(=O)C=CC34C,CP,1
CP-207,[C@@]24(F)C1(C(=CC(=O)C=C1)[C@@H](F)CC2C3C(C([C@@H](C3)C)C(=O)CO)(CC4O)C)C,CP,1
CP-208,[C@H]23[C@@]([C@@]1(C(=CC(=O)C=C1)[C@H](C2)F)C)([C@H](C[C@]4([C@H]3C[C@@H](C)[C@@H]4C(COC(C(C)(C)C)=O)=O)C)O)F,CP,1
CP-209,CC3CC2C1CCC(C(C)=O)C1(C)CC(O)C2C4(C)C=CC(=O)C=C34,CP,1
CP-210,CCCCOC(=O)C(=O)C3C(C)CC4C2CC(F)C1=CC(=O)C=CC1(C)C2C(O)CC34C,CP,1
CP-211,CCCCCC(=O)OCC(=O)C3C(C)CC4C2CC(F)C1=CC(=O)C=CC1(C)C2C(O)CC34C,CP,1
CP-212,[C@]23([C@H]([C@H]1[C@]([C@@](OC(C)=O)(C(C)=O)CC1)(C)C[C@@H]2O)C[C@H](C)C4=CC(=O)C=C[C@]34C)F,CP,1
CP-213,CC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)SCF,CP,1
CP-214,[C@]4([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)[C@H](C2)F)C)(F)[C@H](C3)O)C[C@H]4C)C)(OC(CC)=O)C(SCF)=O,CP,1
CP-215,[C@H]23C(Cl)([C@@]1(C(=CC(=O)C=C1)[C@@H](F)C2)C)[C@@H](F)C[C@]4([C@H]3C[C@H]([C@@H]4C(=O)CO)C)C,CP,1
CP-216,[C@]34([C@H]([C@H]2C([C@@]1(C(=CC(C(=C1)Br)=O)[C@@H](C2)F)C)([C@H](C3)O)F)CCC4(C(=O)CO)O)C,CP,1
CP-217,C(C(C1(CCC2C4C(C(CC12C)O)(F)C3(C=CC(C=C3CC4)=O)C)O)=O)O,CP,1
CP-218,[C@H]23[C@@]([C@@]1(C(=CC(=O)C=C1)CC2)C)([C@H](C[C@]4([C@H]3CC[C@@]4(C(COC(C)=O)=O)O)C)O)F,CP,1
CP-219,CCOC(=O)OC3(CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C)C(=O)OCCl,CP,1
CP-220,[C@@]23(Cl)C(C1C([C@](O)([C@@H](C1)C)C(=O)CO)(CC2Cl)C)CCC4=CC(=O)C=CC34C,CP,1
CP-221,[C@@]4([C@@]3([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)C=C1)[C@H](C2)C)C)[C@H](C3)O)CC4)C)(C(COC(C)=O)=O)OC(CC)=O,CP,1
CP-222,[C@H]34[C@H]2[C@@](Cl)([C@@]1(C(=CC(=O)C=C1)CC2)C)[C@@H](O)C[C@@]3([C@](O)([C@@H](C4)C)C(=O)CCl)C,CP,1
CP-223,[C@]34([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)C=C1)[C@H](C2)F)C)[C@H](C3)O)C[C@H]([C@@]4(C(COC(C)=O)=O)O)C)C,CP,1
CP-224,[C@@]4([C@@]3([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)C=C1)CC2)C)[C@H](C3)O)CC4)C)(C(COC(CC)=O)=O)OC(OCC)=O,CP,1
CP-225,C(C(C4(C3(C(C2C(C1(C(=CC(=O)C=C1)CC2)C)C(C3)O)CC4)C)O)=O)OC(CN(CC)CC)=O,CP,1
CP-226,[C@H]34[C@H]2[C@@H]([C@@]1(C(=CC(=O)C=C1)CC2)C)[C@@H](O)C[C@@]3([C@](C(COC(COC(CCCCCCCCCCCCCCCCC)=O)=O)=O)(O)CC4)C,CP,1
CP-227,[C@]34([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)C=C1)CC2)C)[C@H](C3)O)CC[C@@]4(C(COC(CC(C)(C)C)=O)=O)O)C,CP,1
CP-228,[C@H]12[C@@]([C@](C(CC)=O)(C)[C@@H](C1)C)(C[C@H](O)[C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)C,CP,1
CP-229,[C@H]12[C@@](C(OC(=O)C)([C@H](C1)C)C(SC)=O)(C[C@H](O)C3(F)[C@H]2CCC4=CC(=O)C=C[C@]34C)C,CP,1
CP-230,[C@]23([C@H]([C@H]1[C@]([C@@](SCC)(SC)CC1)(C)C[C@@H]2O)CCC4=CC(=O)C=C[C@]34C)F,CP,1
CP-231,[C@H]24[C@H]1[C@@]([C@](O)([C@@H](C1)C)C(=O)CO)(C[C@H](O)[C@@H]2[C@@]3(C(=CC(=O)C=C3)C[C@H]4Cl)C)C,CP,1
CP-232,[C@@]4([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)CC2)C)(Cl)[C@H](C3)O)C[C@@H]4C)C)(C(COC(CC)=O)=O)OC(CC)=O,CP,1
CP-233,[C@@]4([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)CC2)C)(F)[C@H](C3)O)C[C@@H]4C)C)(C(COC(C)=O)=O)OC(C(C)C)=O,CP,1
CP-234,[C@H]34[C@H]2[C@@]([C@@]1(C(=CC(=O)C=C1)CC2)C)([C@@H](O)C[C@@]3([C@](C(COC(C)=O)=O)(O)[C@H](C4)C)C)F,CP,1
CP-235,[C@@]4([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)CC2)C)(F)[C@H](C3)O)C[C@@H]4C)C)(C(COC(CC)=O)=O)OC(CC)=O,CP,1
CP-236,[C@@]23(F)C(C1C([C@](O)(C(C1)C)C(=O)CCl)(CC2O)C)CCC4=CC(=O)C=CC34C,CP,1
CP-237,[C@]4([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)CC2)C)(F)[C@H](C3)O)C[C@@H]4C)C)(OC(CC)=O)C(CCl)=O,CP,1
CP-238,CC4CC3C2CC(F)(F)C1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O,CP,1
CP-239,[C@@]4([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)[C@H](C2)F)C)(F)[C@H](C3)O)C[C@@H]4C)C)(C(COC(C)=O)=O)OC(C)=O,CP,1
CP-240,[C@@]4([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)[C@H](C2)F)C)(F)[C@H](C3)O)CC4)C)(C(COC(C)=O)=O)OC(CCC)=O,CP,1
CP-241,[C@]23([C@H]([C@H]1[C@]([C@](C(CO)=O)(C)[C@@H](C1)C)(C)C[C@@H]2O)CCC4=CC(=O)C=C[C@]34C)F,CP,1
CP-242,[C@H]34[C@H]2[C@@](F)([C@@]1(C(=CC(=O)C=C1)CC2)C)[C@@H](O)C[C@@]3([C@](O)([C@H](C4)C)C(=O)C)C,CP,1
CP-243,[C@H]23[C@@]([C@@]1(C(=CC(=O)C=C1)[C@H](C2)F)C)([C@H](C[C@]4([C@H]3C[C@@H](C)[C@@]4(C(CO)=O)O)C)O)F,CP,1
CP-244,[C@]12(F)[C@H](CC4([C@H](C1C[C@@H](C3=CC(=O)C=CC23C)F)C[C@H]([C@]4(O)C(=O)COC(=O)C(C)(C)C)C)C)O,CP,1
CP-245,[C@H]2(C1=CC(=O)C=C[C@@]1([C@@]4([C@@H](C2)[C@@H]3C[C@@H](O)[C@]([C@@]3(C)C[C@@H]4O)(O)C(=O)CO)F)C)F,CP,1
CP-246,[C@H]24[C@H]1[C@@]([C@@H](C(C(OCCCC)=O)=O)[C@@H](C1)C)(C[C@@H]([C@@H]2[C@@]3(C(=CC(=O)C=C3)[C@H](C4)F)C)O)C,CP,1
CP-247,[C@H]24[C@H]1[C@@]([C@@H](C(CO)=O)[C@@H](C1)C)(C[C@@H]([C@@H]2[C@@]3(C(=CC(=O)C=C3)[C@H](C4)F)C)O)C,CP,1
CP-248,[C@]23([C@H]([C@H]1[C@]([C@](C(C)=O)(O)CC1)(C)C[C@@H]2O)C[C@H](C)C4=CC(=O)C=C[C@]34C)F,CP,1
